query,run,status,elapsed_ms,result_batches,result_rows,error
q0,0,ok,2,1,1,
q1,0,ok,26,1,1,
q2,0,ok,29,1,1,
q3,0,ok,24,1,1,
q4,0,ok,31,1,1,
q5,0,ok,50,1,1,
q6,0,ok,25,1,1,
q7,0,ok,26,1,5,
q8,0,ok,76,1,10,
q9,0,ok,105,1,10,
q10,0,ok,37,1,10,
q11,0,ok,41,1,10,
q12,0,ok,64,1,10,
q13,0,ok,66,1,10,
q14,0,ok,66,1,10,
q15,0,ok,67,1,10,
q16,0,ok,159,1,10,
q17,0,ok,163,1,10,
q18,0,ok,548,1,10,
q19,0,ok,133,1,10,
q20,0,ok,174,1,1,
q21,0,ok,191,1,1,
q22,0,ok,314,1,10,
q23,0,ok,912,1,10,
q24,0,ok,45,1,10,
q25,0,ok,43,1,10,
q26,0,ok,45,1,10,
q27,0,ok,163,1,2,
q28,0,ok,875,1,25,
q29,0,ok,25,1,1,
q30,0,ok,69,1,10,
q31,0,ok,90,1,10,
q32,0,ok,886,1,10,
q33,0,ok,578,1,10,
q34,0,ok,567,1,10,
q35,0,ok,208,1,10,
q36,0,ok,356,1,10,
q37,0,ok,192,1,10,
q38,0,ok,117,1,10,
q39,0,ok,1302,1,10,
q40,0,ok,47,1,1,
q41,0,ok,150,1,10,
q42,0,ok,27,0,0,
